ID,name,topic_ID
18e93d07-2c19-3323-cf61-8908545544b0,General points,ce8100f0-f076-5296-8d91-f006842bc27d
fa95b086-a714-f7ac-d563-6f9b5a0190e8,Multi Target applications,ce8100f0-f076-5296-8d91-f006842bc27d
d5bf7d30-ddee-0445-6d21-561291cbad70,Application Router,ce8100f0-f076-5296-8d91-f006842bc27d
fe0adaf0-8fa4-e825-941c-01dd5a505356,Authorisation and authentication,ce8100f0-f076-5296-8d91-f006842bc27d
b06e4663-a14b-6943-07fe-13e699f62cc8,Extension capabilities,4c0d4b6e-4c3a-cd89-995f-aea11026c3da
d198d4bd-d6d5-0735-8aa0-b4f1f635d738,Build & deployment,4c0d4b6e-4c3a-cd89-995f-aea11026c3da
b2aacb6b-8be5-e93b-66d6-c883c838ef73,SAPUI5 ABAP repository & the ABAP Back-End infrastructure,4c0d4b6e-4c3a-cd89-995f-aea11026c3da
bd9ab5db-b306-fbbb-8131-d644a5aa0a33,Misc,4c0d4b6e-4c3a-cd89-995f-aea11026c3da
26a964d8-be2a-2878-3f44-64fed3e44375,General,74c34d06-508f-b6cd-3294-e639f6d749fd
d75dcd11-c4b5-0799-adde-d3bafe4e68a4,Syntax,43777d24-cb22-183e-a19a-3f916c573ffc
7ff8b7a4-c2d9-7bbc-0601-7516aaaee3d9,Arrays,43777d24-cb22-183e-a19a-3f916c573ffc
2f6a3eaa-c0d5-f9c7-8415-fb90be859400,Functions,43777d24-cb22-183e-a19a-3f916c573ffc
ef00632c-47ff-ac8a-1d88-60afdff44368,Scope & closure,43777d24-cb22-183e-a19a-3f916c573ffc
5e4206f3-27e8-9e31-0505-61a9b3748462,Async behavior,43777d24-cb22-183e-a19a-3f916c573ffc
e84f412c-b939-6ffc-b745-ae7fbc94ab85,Data types,43777d24-cb22-183e-a19a-3f916c573ffc
7ae92f14-089e-d9e3-6fe6-3a66cfe858a7,Expressions & operators,43777d24-cb22-183e-a19a-3f916c573ffc
fa898326-091e-71ad-29d7-d7dd32f9d834,Objects,43777d24-cb22-183e-a19a-3f916c573ffc
f73952e4-6e3b-21f8-6264-bdfc860ef3fc,Error handling,43777d24-cb22-183e-a19a-3f916c573ffc
2d0bf123-d35f-70b2-73d8-9647d496f2f7,Misc,43777d24-cb22-183e-a19a-3f916c573ffc
237ba139-8f33-a066-a117-c55c50738af9,DOM,9a9c4295-a114-08a2-c2f5-e76286aef285
77b6ef8c-314d-67cf-5c31-c01783858b69,Event handling,9a9c4295-a114-08a2-c2f5-e76286aef285
3c010cdb-8906-1c38-c2f0-40bded9ee0f7,Networking,9a9c4295-a114-08a2-c2f5-e76286aef285
77ca4dc4-bf4b-649e-1fe7-22fb20f892ce,Client Side data storage,9a9c4295-a114-08a2-c2f5-e76286aef285
53ee17e8-9740-9c27-9fde-eff463e0a0d2,Web APIs / interfaces,9a9c4295-a114-08a2-c2f5-e76286aef285
e65a8bf1-2880-e4cb-52f9-08e7d0f45f5e,Misc,9a9c4295-a114-08a2-c2f5-e76286aef285
7e691e25-5b2e-d4c5-fc53-2a91e5b41f7e,V8,9a9c4295-a114-08a2-c2f5-e76286aef285
6221d37e-a03c-20f0-e76c-5c1ae6dfe109,General points,b2243fa0-043d-c629-9901-68e4a0eb67a3
18b25c94-a7f1-39f0-7df1-178801c7e1c9,URI Conventions,b2243fa0-043d-c629-9901-68e4a0eb67a3
78b1ca73-4865-1575-e461-7f67eb33732a,Operations / data requesting,b2243fa0-043d-c629-9901-68e4a0eb67a3
80771ca6-7861-0e94-7af5-7b523299c362,Batch processing,b2243fa0-043d-c629-9901-68e4a0eb67a3
2adac713-87ff-9e6e-656c-d11438866a84,JSON format representation,b2243fa0-043d-c629-9901-68e4a0eb67a3
