ID,text,answer,difficulty_ID,topic_ID,group_ID
e0add7fe-0179-7a05-f69e-e311e2bf5f07,"Know what a BTP is, its purpose.1) Connect (to your systems)/n",,ada90e4e-7353-4533-f414-c329f3a0f8f0,dd94fe9f-ff49-b3cc-3eee-f607418fadcd,7874b20a-9fc7-8759-217f-3de795bf06fd
dcae8a3f-bc79-021c-fa15-7a37e70b97f5,Know what platform as a service means./n,,ada90e4e-7353-4533-f414-c329f3a0f8f0,dd94fe9f-ff49-b3cc-3eee-f607418fadcd,7874b20a-9fc7-8759-217f-3de795bf06fd
9c971af6-ec98-f8ee-d2f0-377068ff71f4,"Know what environments BTP has and purpose / use cases for each one:/n  0) CFCloud Foundry (CF) is an open-source, industry standard for multi-cloud environmentsUnlike Neo, which is hosted by SAP, CF can be hosted on any of the big 4 hyperscalers (AWS, Microsoft Azure, Google Cloud Platform and Alibaba Cloud, as well as OpenStack. The PaaS (platform as a service) offering hides the runtime and OS (and everything underneath, like virtualization and bare-metal), so that you can focus on your application and the data. CF also covers the deployment and management of the apps, taking care of dependencies via so-called “buildpacks”: languages like Java, Node.js, Ruby and others are supported  1) NEOsupports Java, SAP HANA XS and HTML5  2) ABAP  3) Kyma",,ada90e4e-7353-4533-f414-c329f3a0f8f0,dd94fe9f-ff49-b3cc-3eee-f607418fadcd,7874b20a-9fc7-8759-217f-3de795bf06fd
b3c284e3-e164-c998-53a5-4d8ca9b191d7,"Know the aspects BTP account model, ability to explain and name the purpose of each:/n  0) Global AccountThere are two types of global accounts: enterprise accounts (paid) and trial accounts (free)  1) SubaccountSubaccounts let you structure a global account according to your organization’s and project’s requirements with regard to members, authorizations, and entitlements.  2) Spacespaces, which is where application development, deployment, and maintenance takes place  3) Entitlementthe service plans  4) QuotaA quota represents the numeric quantity that defines the maximum allowed consumption of a resource.  5) Directories",,92c927a9-c302-30ed-60be-9d150e19ba18,dd94fe9f-ff49-b3cc-3eee-f607418fadcd,7874b20a-9fc7-8759-217f-3de795bf06fd
5270f315-ef9a-7039-fa5f-a3d88f052a1a,Know what a multi tenancy is; details around it:/n  0) Provider  1) Consumer  2) Methods to achieve db/persistency multi tenancy   3) How to setup a subscription for an application  4) How to onboard a tenant  5) SaaS Provisioning service,,305ae917-827f-c61a-7b1f-048f91566865,dd94fe9f-ff49-b3cc-3eee-f607418fadcd,7874b20a-9fc7-8759-217f-3de795bf06fd
e829b5f9-3e32-9a57-3d9e-965fbdb68799,Know what a Multi target application is./n,,ada90e4e-7353-4533-f414-c329f3a0f8f0,dd94fe9f-ff49-b3cc-3eee-f607418fadcd,2a55060c-ac53-2eea-c632-7f55b1169995
a1592875-0f14-9076-8b8c-625ff8657076,Know the main components of the mta.yml file: /n  0) Modules  1) Resource  2) Parameters  3) Properties,,ada90e4e-7353-4533-f414-c329f3a0f8f0,dd94fe9f-ff49-b3cc-3eee-f607418fadcd,2a55060c-ac53-2eea-c632-7f55b1169995
6183e4e7-e6e8-bccc-a119-745d70c33340,Know what is module and main aspects of it:/n  0) Module name  1) Type  2) Specific params  3) Hooks  4) Build params,,92c927a9-c302-30ed-60be-9d150e19ba18,dd94fe9f-ff49-b3cc-3eee-f607418fadcd,2a55060c-ac53-2eea-c632-7f55b1169995
7a3b2f9d-b468-60c9-ac45-5913634d92a3,Know the resources aspects:/n  0) Types  1) Properties,,92c927a9-c302-30ed-60be-9d150e19ba18,dd94fe9f-ff49-b3cc-3eee-f607418fadcd,2a55060c-ac53-2eea-c632-7f55b1169995
cc65651c-33d0-e408-8f85-8fd3ba5888d3,Know what MTA Extension descriptor is./n,,92c927a9-c302-30ed-60be-9d150e19ba18,dd94fe9f-ff49-b3cc-3eee-f607418fadcd,2a55060c-ac53-2eea-c632-7f55b1169995
1e3b008c-2f18-7892-ccb3-df5c59351915,Know concept of Blue-Green Deployment/n,,305ae917-827f-c61a-7b1f-048f91566865,dd94fe9f-ff49-b3cc-3eee-f607418fadcd,2a55060c-ac53-2eea-c632-7f55b1169995
