ID,name,topic_ID
32adae1c-44fe-ed43-acf0-5c551dab3899,General points,8b5342b9-54ea-9dcb-c957-2b78517b8938
5aa1b432-e83c-c981-090b-04187200809b,Multi Target applications,8b5342b9-54ea-9dcb-c957-2b78517b8938
e51b544f-b07a-0998-3c60-1ca674c2f7b1,Application Router,8b5342b9-54ea-9dcb-c957-2b78517b8938
849c9be1-d903-d2be-3448-a38f5dabab27,Authorisation and authentication,8b5342b9-54ea-9dcb-c957-2b78517b8938
fe014476-8079-ce3a-32b9-930ac5a9e0f3,Extension capabilities,ed910572-a008-ab7a-4950-d5b23a70a4b4
7898f66b-927c-a00f-ca93-6bfe55e3db4f,Build & deployment,ed910572-a008-ab7a-4950-d5b23a70a4b4
b3880128-47de-f9fe-6ffb-0107e6794f84,SAPUI5 ABAP repository & the ABAP Back-End infrastructure,ed910572-a008-ab7a-4950-d5b23a70a4b4
84df5692-9e22-ee5c-7a9c-fd7f93bd2b20,Misc,ed910572-a008-ab7a-4950-d5b23a70a4b4
eace4302-e244-0fda-8450-a2e3d99d7779,General,af707c61-fa5a-681d-a982-b51ce8596977
3bd8067d-2aeb-1d68-b0dc-3821f90c88b8,Syntax,f1aa66cd-0b9d-7c34-7145-cdab9cb79098
7a3e4e87-1498-d62f-43af-cd08b6a02c8a,Arrays,f1aa66cd-0b9d-7c34-7145-cdab9cb79098
0d162522-031c-b78f-3121-96c62af8bddc,Functions,f1aa66cd-0b9d-7c34-7145-cdab9cb79098
1dc8796d-2c8a-8fac-7a7f-c38d7bfc4df2,Scope & closure,f1aa66cd-0b9d-7c34-7145-cdab9cb79098
1db4e20e-5eca-9a4f-46c6-8e2586ae555b,Async behavior,f1aa66cd-0b9d-7c34-7145-cdab9cb79098
965bdf36-4e66-6bbb-6eb5-390b9129adb9,Data types,f1aa66cd-0b9d-7c34-7145-cdab9cb79098
f7b2eeae-518e-3f9f-b03a-f681e9c21842,Expressions & operators,f1aa66cd-0b9d-7c34-7145-cdab9cb79098
9e5fe9e4-068f-adff-0f21-03a2f6cf4113,Objects,f1aa66cd-0b9d-7c34-7145-cdab9cb79098
6e72dc8d-5ed4-28ce-fc5f-2a9bd53155e0,Error handling,f1aa66cd-0b9d-7c34-7145-cdab9cb79098
7dbfff89-d12a-4fa1-a65b-bafd4cd14398,Misc,f1aa66cd-0b9d-7c34-7145-cdab9cb79098
9e397fe4-dfe7-6376-104a-30d36757c09d,DOM,81f2573d-40f4-5186-6976-a56c6703b961
19735916-883f-fd19-cd43-89430a267c54,Event handling,81f2573d-40f4-5186-6976-a56c6703b961
16be200b-9570-9b10-e6c3-2056657f1162,Networking,81f2573d-40f4-5186-6976-a56c6703b961
907150ac-a7a3-7d0c-c563-54bb75fad5fc,Client Side data storage,81f2573d-40f4-5186-6976-a56c6703b961
7b14e948-ba25-2aa4-e881-b1a964eb3f1b,Web APIs / interfaces,81f2573d-40f4-5186-6976-a56c6703b961
be6d4b28-5947-b324-195f-98a3f22e9815,Misc,81f2573d-40f4-5186-6976-a56c6703b961
15475219-a0ce-ba31-574d-617c9923f65c,V8,81f2573d-40f4-5186-6976-a56c6703b961
50b94a2c-57ae-b2ae-f138-0738dc375fd5,General points,60ae3692-684c-1d8a-75bf-6763c5c3f4cd
91a2c7aa-7b98-ce53-492c-7045eaa3bde1,URI Conventions,60ae3692-684c-1d8a-75bf-6763c5c3f4cd
